id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
63241,Female,Urban,High School,6.23,1,7,9231.0,More than 1,A,Silver,338856
44426,Male,Urban,Others,5.24,1,7,6664.0,1,B,Platinum,33900
87335,Female,Urban,Bachelor,4.79,1,6,8875.0,More than 1,A,Gold,108324
22771,Male,Urban,Bachelor,5.05,0,2,,More than 1,A,Platinum,357708
28771,Male,Rural,High School,44.38,0,6,0.0,1,B,Platinum,64488
49902,Female,Urban,High School,7.1,1,7,2963.0,More than 1,B,Silver,71808
69228,Female,Urban,High School,31.01,0,3,3626.0,More than 1,,Silver,85476
63215,Female,Urban,Bachelor,5.45,0,2,2378.0,More than 1,B,Platinum,209400
46556,Male,Rural,Bachelor,8.03,0,7,4144.0,1,B,Silver,28488
53437,Male,Urban,Bachelor,,1,7,6371.0,More than 1,C,Silver,295776
49414,Male,Rural,High School,9.1,1,6,3127.0,More than 1,A,Platinum,97440
78798,Male,Urban,High School,9.79,1,8,10157.0,More than 1,B,Gold,102876
16743,Female,Rural,Bachelor,2.83,1,2,3740.0,More than 1,B,Platinum,73368
83726,Female,Urban,Others,6.59,1,8,4002.0,More than 1,B,Silver,103452
65546,Male,Rural,High School,,1,0,0.0,More than 1,A,Silver,89304
47359,Male,Urban,High School,3.31,1,6,2316.0,1,A,Platinum,50724
65171,Male,Urban,Bachelor,3.56,1,4,4734.0,1,A,Platinum,29700
19282,Male,Urban,High School,9.41,0,1,3367.0,More than 1,A,Gold,94788
791,Female,Urban,High School,3.68,0,2,8291.0,More than 1,,Silver,292212
86080,Male,Urban,Bachelor,6.99,0,2,3895.0,More than 1,B,Platinum,32544
21850,Female,Urban,High School,3.75,0,1,11113.0,More than 1,A,Platinum,68592
31558,Female,Urban,High School,5.42,1,6,,More than 1,A,Platinum,64512
42092,Female,Rural,High School,12.4,1,6,0.0,1,A,Gold,32676
12456,Male,Urban,Bachelor,7.87,1,6,2098.0,1,B,Platinum,67452
13872,Male,Rural,Bachelor,7.12,1,1,2698.0,More than 1,A,Gold,103332
44357,Male,Rural,High School,2.35,1,2,0.0,1,B,Platinum,34476
59167,Female,Urban,High School,8.97,1,6,6441.0,More than 1,C,Gold,412932
13407,Male,Rural,High School,93.16,1,3,6265.0,1,B,Silver,37656
86090,Female,Urban,High School,0.71,0,4,5491.0,1,,Platinum,41832
77856,Male,,High School,6.01,0,7,4453.0,1,A,Gold,32952
76175,Male,Urban,High School,6.19,1,8,3829.0,1,A,Platinum,61008
26647,Female,Urban,High School,8.5,1,4,2623.0,1,B,Silver,30156
80435,Male,Urban,High School,5.74,0,6,7559.0,More than 1,B,Platinum,60060
73962,Female,Rural,Bachelor,9.05,0,6,5522.0,More than 1,A,Platinum,63216
49276,Male,Urban,Bachelor,2.15,1,7,7426.0,More than 1,B,Silver,76488
24801,Female,Urban,High School,5.26,0,0,,More than 1,,Gold,77592
5646,Male,Urban,Bachelor,3.22,1,6,3804.0,1,B,Silver,37320
1842,Male,Urban,Others,7.4,1,4,9129.0,1,A,Gold,46920
